# mt32-t113 minimum test board BOM, rev 0 (paper only, nothing routed)
# Prices: LCSC qty-1 list, read from search-engine extraction on 2026-09-17.
# LCSC and JLCPCB are unreachable from the authoring environment - see hw/HARDWARE.md section 0.
# confidence: V = vendor/reseller listing, GUESS = invented placeholder, I = engineering judgement
ref,function,part,lcsc,package,qty,unit_usd,ext_usd,confidence,note
U1,SoC,Allwinner T113-i,C7545092,LFBGA-337 13x13mm,1,4.8421,4.84,V,308 in stock; has a jlcpcb.com partdetail page
U2,DRAM,DDR3L 4Gbit x16 512MB (MT41K256M16HA-125 IT:E),C20463642,FBGA-96 9x14mm,1,6.5295,6.53,V,DigiKey marks this SKU obsolete - see alternates below
U2-alt1,DRAM alt,MT41K256M16TW-107:P,C253882,FBGA-96,1,13.7727,13.77,V,933MHz grade
U2-alt2,DRAM alt,MT41K256M16TW-107 XIT:P,C1349259,FBGA-96,1,3.0329,3.03,V,suspiciously cheap - verify before trusting
U2-alt3,DRAM alt,NT5CC256M16ER-EK (Nanya),C428584,FBGA-96,1,30.1211,30.12,V,321 in stock
U2-alt4,DRAM alt 2Gbit,MT41K128M16JT-125 XIT:K,C598780,FBGA-96,1,10.46,10.46,V,256MB and MORE expensive than the 4Gbit part - do not use
U3,Audio DAC,PCM5102APWR,C107671,TSSOP-20,1,0.8379,0.84,V,internal PLL - no MCLK needed; BCK/LRCK/DIN only
U4,MIDI optocoupler,H11L1S(TA) Everlight,C78589,SMD-6,1,0.1563,0.16,V,17045 in stock; Schmitt output; spec'd from 3.0V
U4-alt,MIDI opto alt,H11L1 (through-hole),C78588,DIP-6,1,0.1611,0.16,V,hand-solder step
U4-alt2,MIDI opto alt,H11L1SM onsemi,C899473,SMD-6,1,,,V,SMD onsemi equivalent
U5,Buck 3.3V,SY8089AAAC,C78988,SOT-23-5,1,0.0776,0.08,V,2A; 62105 in stock
U6,Buck VCC-DRAM 1.5V,SY8089AAAC,C78988,SOT-23-5,1,0.0776,0.08,V,Allwinner guide: external DC-DC for VCC-DRAM
U7,Buck VDD-CPU,SY8089AAAC,C78988,SOT-23-5,1,0.0776,0.08,V,fixed voltage - no DVFS on the test board
U8,LDO 1.8V,XC6206 / ME6211 class,,SOT-23-3,1,0.05,0.05,GUESS,not priced
U9,Boot flash (DNP),W25Q128JVSIQ,C97521,SOIC-8,0,1.6873,0.00,V,footprint only - BROM checks SD first then SPI then FEL
U10,USB-UART (not fitted),CH340N,C506813,MSOP-8,0,0.2692,0.00,V,using a 4-pin header and an external dongle instead
J1,microSD,TF-01A push-pull,C91145,SMD,1,0.1048,0.11,V,
J2,USB-C for FEL and 5V in,USB-C 16P receptacle,,SMD,1,0.15,0.15,GUESS,device mode only - 2x 5.1k CC pulldowns
J3,MIDI in,DIN-5 180deg PCB jack,,THT,1,0.40,0.40,GUESS,
J4,Console,4-pin 2.54 header,,THT,1,0.05,0.05,GUESS,GND/TX/RX/3V3 for a USB-TTL dongle
J5,Line out,3.5mm jack or 2-pin,,,1,0.15,0.15,GUESS,DC-blocked and attenuated for a WaveBlaster mixer input
Y1,Main clock,24MHz SMD3225 X322524MSB4SI,C15643,3225,1,0.0492,0.05,V,31250 baud = 24MHz/16/48 exactly
Y2,RTC clock,32.768kHz SC-20S,C97603,cylinder,1,0.1254,0.13,V,DT-38 (C93228) at 0.0689 is the cheaper alternative
L1-L3,Buck inductors,2.2uH / 1uH shielded 2A,,0806-1210,3,0.06,0.18,GUESS,
RC,Passives,~45 decoupling + ~12 bulk caps + ~50 resistors + ferrites,,0402/0603,~120,,1.60,GUESS,includes DDR3 VREF 1% divider
MISC,Misc,ESD diodes / reset button / strap jumpers / test points,,,,,0.60,GUESS,
,,,,,,PARTS TOTAL PER BOARD,18.92,,
,,,,,,of which SoC,4.84,,
,,,,,,of which DRAM,~10.00,,volatile - see HARDWARE.md section 3.2
,,,,,,of which everything else,~4.08,,
# NOT on this board, by design: USB host, eMMC, Ethernet, display, Wi-Fi, VTT termination rail.
# VTT is omitted because the T113-i DRAM controller is single-channel 16-bit, so the bus is
# one point-to-point x16 device with on-die termination and no fly-by topology.
# LAYOUT RULE (see HARDWARE.md section 5.4 and boot/BRINGUP.md section 2.5):
# DDR3 A0-A15 / BA0-BA2 / RAS# / CAS# / WE# are routed STRAIGHT THROUGH, no swizzle.
# The DRAM PHY applies an address/command remapping table selected by an efuse at
# SID+0x28 bits [11:8], or forced to table 7 by dram_tpr13 bit 18. The table must be
# the inverse of the PCB permutation, so the net assignment is a schematic decision
# and a wrong one is a respin. DQ bit swapping WITHIN a byte lane is permitted and
# encouraged; DQ swapping between lanes is not, and DQS/DM stay with their lane.
#
# ============================================================================
# CARRIER-BOARD DELTA, added 2026-09-18. See hw/CARRIER.md.
# These are the parts the carrier needs that the test board above did not cost.
# They are the SoM-independent half of the design: MIDI in, MIDI THRU, the
# WaveBlaster interface, the output stage, and the input-power front end.
# NO LCSC code is given where I could not read one - LCSC is unreachable from
# the authoring environment and this project does not invent part numbers.
# Every unit price below is GUESS for the same reason; the whole block is under
# $2, so the bottom line is not sensitive to it.
# confidence: V = vendor/reseller listing, I = engineering judgement,
#             GUESS = invented placeholder, C-A = value taken from a community
#                     artefact (an open-hardware netlist) read directly
# ----------------------------------------------------------------------------
ref,function,part,lcsc,package,qty,unit_usd,ext_usd,confidence,note
# --- MIDI IN, standalone build (CARRIER.md section 4) ---
U1,MIDI optocoupler,H11L1S(TA) Everlight,C78589,SMD-6,1,0.1563,0.16,V,already above as U4; pinout 1=A 2=K 3=NC 4=VO 5=GND 6=VCC per CARRIER.md 1.4
R1,MIDI loop resistor,220R 1% 0402,,0402,1,0.005,0.01,GUESS,MIDI 1.0 spec value; gives 5.00 mA with a 5 V sender - CARRIER.md 4.3
D1,MIDI LED protection,1N4148W,,SOD-123,1,0.01,0.01,GUESS,reverse-parallel across the IRED
R3,Opto output pull-up,1k 0402,,0402,1,0.005,0.01,I,1k chosen in CARRIER.md 4.4: 33 ns edge / 3.3 mA. NOT 4k7
C1,Opto VCC decoupling,100nF 0402 X7R,,0402,1,0.004,0.00,GUESS,
J3,MIDI IN jack,DIN-5 180deg PCB,,THT,1,0.40,0.40,GUESS,already above as J3
R4,MIDI link + test point,0R 0402,,0402,1,0.004,0.00,I,bench TTL injection point; exactly one of R4/R13 populated
# --- MIDI THRU, standalone build (CARRIER.md section 5) ---
U2,THRU buffer,74LVC1G07 NON-inverting open-drain,,SOT-23-5,1,0.05,0.05,GUESS,VCC 3.3 V; open-drain output tolerant to 5.5 V; NOT the inverting 1G06 - CARRIER.md 5.2
R5-R6,THRU loop resistors,220R 1% 0402,,0402,2,0.005,0.01,GUESS,
J6,MIDI THRU jack,DIN-5 180deg PCB,,THT,1,0.40,0.40,GUESS,THRU decided YES for the box - CARRIER.md 5.1. Total THRU cost ~$0.46
# --- WaveBlaster interface, daughterboard build (CARRIER.md section 7) ---
J7,WaveBlaster header,2x13 2.54mm header or IDC,,THT,1,0.20,0.20,GUESS,pinout from 3 fabricated open designs - CARRIER.md 7.2
Q2,MIDI level shifter,BSS138 logic-level N-FET,,SOT-23,1,0.02,0.02,GUESS,AN97055 topology; works for a push-pull OR open-drain host - CARRIER.md 7.4
R11-R12,Level-shifter pull-ups,10k 0402,,0402,2,0.005,0.01,C-A,10k/10k as ivop/vs1053-waveblaster does it
R13,MIDI link + test point,0R 0402,,0402,1,0.004,0.00,I,
Q3,Reset level shifter,BSS138,,SOT-23,1,0.02,0.02,I,WB pin 26 to a GPIO - NOT to SoM RESETn. CARRIER.md 1.3
R14-R15,Reset shifter pull-ups,10k 0402,,0402,2,0.005,0.01,I,
R16,Ground join,0R 0603,,0603,1,0.004,0.00,C-A,single 0R link between GND and AGND pours; both reference boards do this
# --- Analogue output (CARRIER.md section 6) ---
R7-R8,WB attenuator,4k7 1% 0402,,0402,4,0.005,0.02,I,-6.02 dB; Zout 2350R; DAC load 9.4k. Re-stuffable - CARRIER.md 6.2
C4,WB output RC,680pF C0G 0402,,0402,2,0.01,0.02,I,fc 99.6 kHz; -0.17 dB at 20 kHz
R9,WB series/DC-block link,33R 0402,,0402,2,0.005,0.01,I,sits where a DC-block cap would go; default populated with 33R
C7,DC block (DNP),4.7uF bipolar,,0805,0,0.05,0.00,I,DNP. PCM5102A is ground-centred and needs none. 3.6 Hz corner if fitted
R10,Line-out series,100R 0402,,0402,2,0.005,0.01,I,standalone build only
C6,Line-out RC,2n2 C0G 0402,,0402,2,0.01,0.02,I,723 kHz; -0.003 dB at 20 kHz
RSTRAP,DAC strap resistors,10k 0402,,0402,8,0.005,0.04,I,FLT/DEMP/FMT/XSMT - BOTH pull-up and pull-down footprints, one populated
# --- Input power front end (CARRIER.md section 9) ---
U11,Load switch,slew-rate-controlled load switch,,SOT-23-5/6,1,0.15,0.15,GUESS,MANDATORY on the card build. >=5 ms slew caps inrush at 100 mA - CARRIER.md 9.4
C_BULK,Bulk capacitance,100uF 6.3V,,1206/tantalum,1,0.10,0.10,GUESS,downstream of the load switch so the switch controls its charging
D2,USB VBUS OR-ing,Schottky or ideal-diode controller,,SOD-123 / SOT-23,1,0.05,0.05,GUESS,host 5 V must never back-drive a PC USB port - CARRIER.md 9.5
F1,USB VBUS fuse,resettable fuse 1A,,1206,1,0.05,0.05,GUESS,
U12,Carrier 3.3V buck,SY8089AAAC,C78988,SOT-23-5,1,0.0776,0.08,V,enabled BY the SoM's 3V3 output rather than supplied by it - CARRIER.md 2.8
ESD1,ESD protection,ESD arrays: USB-C / SD / DIN / audio jack,,,4,0.05,0.20,GUESS,USB pair needs <=1 pF
,,,,,,CARRIER DELTA TOTAL,~2.06,,excludes the SoM itself and the parts already listed above
# ----------------------------------------------------------------------------
# NOT on the carrier, by design: DDR3 (it is on the module), VTT, VREF divider,
